PC1,PC2,PC3
-0.9818111009105235,0.029822267609383665,0.4524381650520754
0.37015350096870997,0.2606170552973863,-0.6835472457257911
0.11238328232988182,-0.047609879963475356,0.21971720325485558
-0.9860459868624506,0.900729072206772,0.9049002405420502
-0.008780007742677017,-0.25733896111924065,0.3273231542256388
-0.2873373310002219,-1.0801143980464947,1.1244000308005597
1.3273855993236012,0.6834679907786382,-1.7706374160275982
0.0607042212787285,1.7242579702825886,-0.3210825613477308
1.8801809828033056,1.3944258784756445,-0.13492379024096662
-2.100991358206456,0.4843272793812805,1.499299183917444
0.756950427462663,-0.5244625195699488,0.6955573666573804
1.4097860275906844,0.10941306665065677,0.3593451173370385
0.8997394534964369,0.3200837827561447,0.37427709805329656
0.6795933476387324,0.26739804992756266,0.4648285704381268
1.1448816110084994,-2.2133136261305877,1.9311217171312947
-0.5192418034947888,-0.494162344581561,-0.057018915441282195
1.2142380157386123,-0.10822236302821008,0.9484423926055483
-0.6044523767265602,-0.18186639982609246,0.2772039480546431
1.1173074373878207,-0.8274931060934483,0.46279423909048084
-0.9626819014571163,-1.3761162466545889,-0.1618340203702345
0.40682853170552324,2.2419151982605956,0.11084111178831602
0.45927325033363126,-1.0659622384984835,-0.5482564874338821
-1.3890652497167517,-1.0710447420274136,0.9090285970642212
1.5297457251252924,-2.027341201294497,0.48465457274234214
-0.9042964627317912,-0.4003766798221312,1.9294966801485909
-0.17633935998007377,-0.5760420114472748,-1.3283747713769076
1.5968106583048154,-0.5036714010678713,-0.7746461347757312
0.5810960458698511,0.5841090145801262,-0.008726905766884705
-0.17679041941593793,0.34369824505572405,0.8397403454150029
-1.0211789196128347,-1.263166265787099,-0.14728465097322105
1.2324294015310489,0.27096674125813563,-1.097250324752965
-1.0928081402237855,1.8036703926126378,2.0051695796814424
0.5448317859340299,-0.8043513486506646,-1.112768922785264
-1.0578432019451434,-2.2680718415033256,-2.188299979294622
1.186282736116152,1.495703344307661,-0.4395334297210014
-0.06905126874924566,-0.5905584403136878,-1.6481417389398505
-1.5682993147469904,-1.3762970978789255,-0.8876517457269751
0.7074477374584246,-0.5539196744539715,1.1989872199305711
0.7833096963332674,-0.10048267976325707,-0.5212102297230066
-0.9456305606073709,-0.0026987856826988367,-1.8779789751778542
-0.05046485865018122,-0.13221070235767649,-1.187473738211456
-0.2900864013060299,-0.1267619016802431,1.5237682343217538
0.6319425174896571,0.6015018457098207,0.3865515365547405
0.9788484229560301,0.788629031178082,-0.6077753400286365
0.44282406967061905,0.526108685438034,1.7078294986365294
1.5478594806861168,-0.6665360529448341,-0.35610395079191304
0.21479580198097073,-0.01875767896988464,-2.3872414130928523
-0.5152248629933491,0.3821125744025297,-0.5870109037625745
-0.5277589474377086,0.25004052043541797,-0.4048368218546738
1.3485768400058697,-0.9019392521793087,1.602415188508095
-0.4186785657815346,-0.9744445486301752,0.663106367377414
0.3332143667024023,-0.7293149332699517,0.6197959844227953
2.469004128301308,-0.5454007226696722,-0.20903563221702487
-0.37741767356656836,1.75438973701974,-0.13250337347870902
-1.6526615448791875,-1.0262054258960507,0.6511234483469348
-0.3868950211485424,1.4708018648035799,0.8374379495145758
-0.7303616888982664,-0.7246645126028435,-0.14134384097838268
-0.3345898996150373,-0.012083191002913291,0.13467898092011377
0.5124943902558878,0.6119188644747535,0.5268537742240663
-0.7732948262858851,0.8933837801180841,-0.12740826359137572
0.2807088175624213,0.28868764814768694,-0.09428416833291493
1.0494048878638378,0.9793615553894947,0.4300643854870467
0.06257973902032851,-0.6999010507195272,0.17066921130543194
1.402616613478464,0.21898016187322603,0.7451023352640603
0.4008960278475616,0.7593100368006979,-0.9457580863295776
-0.05754951200459976,1.9804792186985807,1.0191440386144515
0.5302753729982188,-0.29520065397797085,-0.6953091699929338
-0.41561875698467143,1.201049877794177,2.0566974293806495
1.1348610214206367,1.6183041669710738,-1.4832459571783172
-0.9246796327393199,-2.1271492486150905,-0.5617838386585513
-1.0111989094972023,-0.6028434852138665,0.2387887293266026
0.25113373518367743,1.4329414706926336,-2.5323447814642686
1.6846839162773661,0.9606523972196435,0.586869816703637
0.6269527370029009,0.8291888060299422,-1.1572656190692023
1.8779297685269545,-0.8327127182270055,-1.1848526218755193
-0.20521009657266578,-0.3731805650230693,-2.1070886708713643
-0.4213597622007384,-0.15436666697453053,-1.9485067907920703
-0.012934982621929053,-2.402552288588651,-0.3686265320473953
1.4692761302486732,-1.3454610403026845,-0.7529942164670475
-0.09915310141609995,-1.2049504479088067,1.9124316318006493
-0.8170834168981062,-0.09673279641264859,0.8980125722775284
-0.06780563961399083,1.095508911010955,-0.5226081722197827
-1.90497048097341,0.3087454982450077,-1.6657168060424066
